topology,qi,match,tokens,diameter,avg_degree,structural_entropy,spectral_gap,task_centrality,n_agents
ba_3_m1_s1,82,1,122137,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,83,0,4373,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,84,0,33169,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,85,0,7420,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,86,0,29410,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,87,0,7476,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,88,0,6695,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,89,1,33976,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,90,0,3637,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,91,0,21056,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,92,0,46695,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,93,1,44027,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,94,0,9827,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,95,0,3345,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,96,0,11396,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,97,0,2427,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,98,0,6137,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,99,0,186893,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s5,0,0,25299,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,1,1,2475,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,2,0,8366,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,3,0,59415,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,4,0,1282,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,5,0,9368,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,6,0,23027,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,7,0,80518,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,8,0,74845,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,9,0,25362,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,10,0,8121,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,11,1,18751,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,12,0,1983,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,13,0,15132,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,14,1,48043,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,15,0,1637,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,16,0,10785,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,17,0,86856,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,18,0,11279,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,19,0,110427,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,20,0,925,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,21,0,1583,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,22,0,90381,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,23,0,4691,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,24,1,30056,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,25,0,14269,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,26,1,67703,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,27,0,11259,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,28,1,53501,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,29,0,9200,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,30,0,7491,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,31,0,38378,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,32,0,8030,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,33,1,47197,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,34,0,48352,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,35,0,4023,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
